os/os.path/shutil|Unipath|path.py|Notes
\-|fsp.rel_path_to(dst)|p.relpathto(dst)|Relative path to "dst".
\-|fsd.listdir()|d.listdir()|List directory, return paths.
\-|fsd.listdir(filter=FILES)|d.files()|List files in directory, return paths.
\-|fsd.listdir(filter=DIRS)|d.dirs()|List subdirectories, return paths.
\-|fsd.walk(...)|d.walk(...)|Recursively yield files and directories.
\-|fsd.walk(filter=FILES)|d.walkfiles(...)|Recursively yield files.
\-|fsd.walk(filter=DIRS)|d.walkdirs(...)|Recursively yield directories.
\-|\-|p.fnmatch(pattern)|True if self.name matches glob pattern.
\-|\-|p.glob(pattern)|Advanced globbing.
\-|\-|f.open(mode)|Return open file object.
\-|fsf.read_file("rb")|f.bytes()|Return file contents in binary mode.
\-|fsf.write_file(content, "wb")|f.write_bytes()|Replace file contents in binary mode.
\-|fsf.read_file()|f.text(...)|Return file content.|(Encoding args not implemented yet.)
\-|fsf.write_file(content)|f.write_text(...)|Replace file content.|(Not all Orendorff args supported.)
\-|\-|f.lines(...)|Return list of lines in file.
\-|\-|f.write_lines(...)|Write list of lines to file.
\-|\-|f.read_md5()|Calculate MD5 hash of file.
\-|\-|p.owner|Advanded "get owner" operation.
\-|\-|p.readlinkabs()|Return the path this symlink points to, converting to absolute path.
\-|\-|p.startfile()|What the hell is this?
\-|p.split_root()|\-|Unified "split root" method.
\-|p.ancestor(N)|\-|Same as specifying .parent N times.
\-|p.child(...)|\-|A "safe" way to join paths.
\-|fsp.needs_update(...)|\-|True if self is missing or older than any of the other paths.
